Species;Botanic_Garden;Species_ID;Year;InitGr;LeafUnf;FlOn;FlPeak;FlMaxInt;FlEnd;FlDur;FrOn;FrEnd;SenOn;SenPeak;SenMaxInt;SenEnd;Remarks
Clematis recta;Jena;Cle_rec_Jen;2022;54;109;152;166;90;193;41;250;354;208;5;100;354;NA
Clematis recta;Halle;Cle_rec_Hal;2022;89;89;153;181;80;216;63;174;298;174;306;100;306;NA
Clematis recta;Prague;Cle_rec_Pra;2022;69;90;132;139;80;167;35;195;300;279;314;80;314;NA
Clematis stans;Leipzig;Cle_sta_Lei;2022;NA;54;96;NA;NA;NA;NA;299;NA;243;264;NA;NA;NA
Colchicum autumnale;Berlin;Col_aut_Ber;2022;291;46;249;256;100;277;28;NA;NA;116;187;100;187;NA
Colchicum autumnale;Prague;Col_aut_Pra;2022;NA;83;NA;NA;NA;NA;NA;NA;NA;160;174;90;174;NA
Colchicum autumnale;Leipzig;Col_aut_Lei;2022;NA;54;89;NA;250;NA;NA;285;NA;159;166;NA;NA;NA
Colchicum autumnale;Jena;Col_aut_Jen;2022;5;54;243;284;100;284;41;NA;NA;88;180;100;215;NA
Colchicum autumnale;Frankfurt;Col_aut_Fra;2022;229;19;236;278;100;278;42;NA;NA;139;180;100;180;NA
Colchicum autumnale;Trondheim;Col_aut_Tro;2022;69;83;255;255;50;255;0;220;227;140;234;90;248;NA
Colchicum autumnale;Potsdam;Col_aut_Pot;2022;41;55;244;257;100;285;41;174;195;152;166;100;355;NA
Colchicum autumnale;Xixon;Col_aut_Xix;2022;5;5;229;243;100;257;28;NA;NA;124;145;100;159;NA
Colchicum autumnale;Petrozavodsk;Col_aut_Pet;2022;110;118;273;273;5;287;14;192;205;192;213;100;213;NA
Colchicum autumnale;Halle;Col_aut_Hal;2022;19;54;259;259;80;269;10;NA;NA;145;174;100;174;NA
Colchicum laetum;Srinagar;Col_lae_Sri;2022;NA;NA;46;53;80;74;28;NA;NA;81;88;100;88;NA
Colchicum speciosum;Vienna;Col_spe_Vie;2022;62;75;243;255;100;269;26;NA;NA;137;166;100;166;NA
Comarum palustre;Halle;Com_pal_Hal;2022;46;46;NA;NA;NA;NA;NA;163;298;181;355;100;355;NA
Comarum palustre;Berlin;Com_pal_Ber;2022;NA;95;144;166;100;172;28;179;214;208;298;60;298;NA
Comarum palustre;Tuebingen;Com_pal_Tue;2022;96;117;159;173;85;272;113;181;299;262;341;100;355;NA
Comarum palustre;Prague;Com_pal_Pra;2022;104;118;153;153;5;167;14;174;217;272;314;100;328;NA
Comarum palustre;Jena;Com_pal_Jen;2022;88;96;137;144;30;152;15;166;236;215;228;10;250;NA
Conium maculatum;Srinagar;Con_mac_Sri;2022;11;18;116;130;90;158;42;165;242;151;186;100;242;NA
Conium maculatum;Jena;Con_mac_Jen;2022;12;5;159;180;40;186;27;NA;NA;137;354;100;354;NA
Conium maculatum;Berlin;Con_mac_Ber;2022;NA;103;187;193;100;249;62;221;221;187;228;100;228;NA
Conium maculatum;Halle;Con_mac_Hal;2022;111;111;174;181;50;187;13;216;259;174;259;100;259;NA
Convallaria majalis;Jena;Con_maj_Jen;2022;40;124;131;144;75;152;21;236;341;166;354;100;354;NA
Convallaria majalis;Srinagar;Con_maj_Sri;2022;81;95;95;116;100;130;35;137;193;165;312;100;312;NA
Convallaria majalis;Berlin;Con_maj_Ber;2022;54;116;131;137;100;144;13;228;298;228;298;95;298;NA
Convallaria majalis;Leipzig;Con_maj_Lei;2022;NA;89;117;NA;138;NA;NA;145;166;117;250;NA;NA;NA
Convallaria majalis;Frankfurt;Con_maj_Fra;2022;103;110;125;131;100;138;13;243;299;166;278;100;299;NA
Convallaria majalis;Tuebingen;Con_maj_Tue;2022;96;117;132;132;50;138;6;209;355;194;299;100;355;NA
Convallaria majalis;Prague;Con_maj_Pra;2022;104;111;125;132;100;139;14;NA;NA;244;314;100;314;NA
Convallaria majalis;Halle;Con_maj_Hal;2022;81;89;118;124;100;139;21;278;326;208;339;100;339;NA
Convallaria majalis;Trondheim;Con_maj_Tro;2022;90;119;147;161;100;175;28;NA;NA;206;248;30;248;NA
Convallaria majalis;Potsdam;Con_maj_Pot;2022;103;110;124;139;60;139;15;152;271;152;271;100;355;NA
Convallaria majalis;Petrozavodsk;Con_maj_Pet;2022;124;136;157;157;20;171;14;256;296;227;256;100;302;NA
Convallaria majalis;Vienna;Con_maj_Vie;2022;84;117;131;137;100;145;14;257;298;180;285;100;285;NA
Corydalis cava;Frankfurt;Cor_cav_Fra;2022;NA;54;75;89;60;110;35;NA;NA;124;131;100;236;NA
Corydalis solida;Berlin;Cor_sol_Ber;2022;NA;54;81;81;80;109;28;124;131;109;131;90;131;NA
Corydalis solida;Frankfurt;Cor_sol_Fra;2022;47;54;75;82;70;110;35;NA;NA;124;131;100;131;NA
Crambe cordifolia;Vienna;Cra_cor_Vie;2022;54;76;NA;NA;NA;NA;NA;NA;NA;132;335;100;335;NA
Crinum latifolium;Srinagar;Cri_lat_Sri;2022;60;67;123;130;90;158;35;NA;NA;158;361;90;361;NA
Crocus speciosus;Jena;Cro_spe_Jen;2022;19;40;284;284;100;284;0;NA;NA;124;152;100;272;NA
Crocus speciosus;Berlin;Cro_spe_Ber;2022;NA;277;284;284;20;284;0;NA;NA;68;116;60;116;NA
Crocus speciosus;Halle;Cro_spe_Hal;2022;11;11;259;259;100;278;19;131;145;118;153;100;153;NA
Crocus vernus;Leipzig;Cro_ver_Lei;2022;NA;54;68;NA;68;NA;NA;89;NA;124;131;NA;NA;NA
Cuphea ignea;Leipzig;Cup_ign_Lei;2022;NA;NA;145;NA;145;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cyanus montanus;Petrozavodsk;Cya_mon_Pet;2022;110;118;164;171;25;205;41;213;213;NA;NA;NA;NA;NA
Cyclamen coum;Potsdam;Cyc_cou_Pot;2022;236;6;26;41;100;103;77;152;201;124;181;100;187;NA
Cyclamen coum;Leipzig;Cyc_cou_Lei;2022;NA;NA;NA;NA;54;NA;NA;82;NA;110;117;NA;NA;NA
Cyclamen coum;Tuebingen;Cyc_cou_Tue;2022;5;27;5;61;95;355;350;117;159;40;138;70;355;NA
Cyclamen coum;Jena;Cyc_cou_Jen;2022;256;265;5;54;95;342;337;131;166;61;137;100;250;NA
Cyclamen hederifolium;Leipzig;Cyc_hed_Lei;2022;NA;89;117;NA;236;NA;NA;54;131;124;131;NA;NA;NA
Cyclamen hederifolium;Frankfurt;Cyc_hed_Fra;2022;13;264;229;250;60;301;72;250;355;NA;NA;NA;NA;NA
Cyclamen purpurascens;Vienna;Cyc_pur_Vie;2022;NA;180;197;209;95;230;33;NA;NA;NA;5;75;363;NA
Cynara cardunculus;Srinagar;Cyn_car_Sri;2022;67;67;172;186;100;207;35;NA;NA;221;361;70;361;NA
Dactylis glomerata;Tuebingen;Dac_glo_Tue;2022;12;12;159;159;5;159;0;159;230;194;5;100;355;NA
Dactylis glomerata;Halle;Dac_glo_Hal;2022;NA;11;153;153;100;174;21;181;259;181;11;80;355;NA
Dactylis glomerata;Trondheim;Dac_glo_Tro;2022;62;62;168;182;100;206;38;NA;NA;212;212;5;212;NA
Dactylis glomerata;Vienna;Dac_glo_Vie;2022;14;54;139;145;75;154;15;166;215;145;5;95;361;NA
Dactylis glomerata;Potsdam;Dac_glo_Pot;2022;41;49;139;144;100;166;27;166;230;166;20;100;355;NA
Dactylorhiza majalis;Jena;Dac_maj_Jen;2022;109;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Daphne laureola;Halle;Dap_lau_Hal;2022;NA;11;40;67;100;95;55;153;187;163;187;100;187;NA
Daphne laureola;Tuebingen;Dap_lau_Tue;2022;83;12;55;61;90;96;41;117;173;159;159;10;355;NA
Daphne laureola;Vienna;Dap_lau_Vie;2022;5;27;33;47;100;95;62;145;145;14;293;60;335;NA
Daphne laureola;Xixon;Dap_lau_Xix;2022;5;5;5;19;100;362;357;NA;NA;138;138;5;180;NA
Dianthus carthusianorum;Halle;Dia_car_Hal;2022;NA;11;174;181;60;216;42;236;269;230;278;95;355;NA
Dianthus carthusianorum;Potsdam;Dia_car_Pot;2022;82;89;152;174;100;306;154;230;278;208;334;100;355;NA
Dianthus caryophyllus;Srinagar;Dia_car_Sri;2022;46;53;123;130;65;151;28;172;193;165;361;60;361;NA
Dianthus deltoides;Halle;Dia_del_Hal;2022;NA;11;153;163;70;208;55;NA;NA;174;263;100;263;NA
Dianthus plumarius;Petrozavodsk;Dia_plu_Pet;2022;118;124;178;185;10;192;14;220;220;NA;NA;NA;NA;NA
Dianthus superbus;Vienna;Dia_sup_Vie;2022;62;76;168;168;50;283;115;197;202;216;5;95;363;NA
Dianthus superbus;Leipzig;Dia_sup_Lei;2022;NA;89;117;NA;NA;NA;NA;NA;NA;278;NA;NA;NA;NA
Dianthus superbus;Berlin;Dia_sup_Ber;2022;NA;81;172;179;80;200;28;208;291;193;298;70;298;NA
Dianthus superbus;Jena;Dia_sup_Jen;2022;82;111;193;208;50;272;79;236;272;221;313;100;354;NA
Dianthus superbus;Potsdam;Dia_sup_Pot;2022;68;82;187;187;100;230;43;236;236;208;348;100;355;NA
Dictamnus albus;Frankfurt;Dic_alb_Fra;2022;75;103;138;145;75;152;14;187;187;250;306;100;306;NA
Dictamnus albus;Halle;Dic_alb_Hal;2022;25;89;145;145;80;153;8;174;208;145;355;100;355;NA
Dictamnus albus;Jena;Dic_alb_Jen;2022;103;109;144;159;90;166;22;215;221;243;314;100;354;NA
Dictamnus albus;Berlin;Dic_alb_Ber;2022;95;109;137;152;100;166;29;200;291;228;291;70;291;NA
Dictamnus albus;Potsdam;Dic_alb_Pot;2022;82;103;139;144;100;166;27;NA;NA;230;264;100;355;NA
Dictamnus albus;Prague;Dic_alb_Pra;2022;83;90;139;139;90;153;14;188;230;217;328;100;328;NA
Dictamnus albus;Vienna;Dic_alb_Vie;2022;102;143;NA;NA;NA;NA;NA;NA;NA;221;300;100;300;NA
Dictamnus albus;Trondheim;Dic_alb_Tro;2022;83;119;175;175;25;206;31;234;242;NA;NA;NA;NA;NA
Dictamnus albus;Leipzig;Dic_alb_Lei;2022;NA;103;131;NA;NA;NA;NA;NA;NA;278;285;NA;NA;NA
Digitalis grandiflora;Srinagar;Dig_gra_Sri;2022;60;67;116;130;90;158;42;165;207;165;214;100;214;NA
Digitalis purpurea;Srinagar;Dig_pur_Sri;2022;67;67;144;151;90;165;21;179;207;179;242;100;242;NA
Dipsacus inermis;Srinagar;Dip_ine_Sri;2022;39;46;165;186;80;214;49;214;333;214;319;100;333;NA
Doronicum pardalianches;Halle;Dor_par_Hal;2022;NA;19;124;131;95;174;50;163;174;33;294;70;355;NA
Dracocephalum ruyschiana;Petrozavodsk;Dra_ruy_Pet;2022;110;118;171;185;10;185;14;205;227;256;296;100;302;NA
Dryas octopetala;Halle;Dry_oct_Hal;2022;NA;11;111;124;50;153;42;139;312;11;355;95;355;NA
Dryas octopetala;Vienna;Dry_oct_Vie;2022;41;96;110;110;25;230;120;154;188;270;354;100;354;NA
Dryas octopetala;Tuebingen;Dry_oct_Tue;2022;12;5;124;132;60;279;155;159;335;262;5;95;355;NA
Dryas octopetala;Leipzig;Dry_oct_Lei;2022;NA;61;89;NA;131;NA;NA;138;152;243;306;NA;NA;NA
Dryas octopetala;Trondheim;Dry_oct_Tro;2022;90;69;140;154;60;248;108;193;234;NA;NA;NA;NA;NA
Dryas octopetala;Jena;Dry_oct_Jen;2022;40;40;124;131;50;137;13;158;214;180;5;100;354;NA
Dryas octopetala;Potsdam;Dry_oct_Pot;2022;20;33;124;139;80;144;20;152;244;230;6;100;355;NA
Dryas octopetala;Berlin;Dry_oct_Ber;2022;NA;46;124;131;90;256;132;144;152;NA;NA;NA;NA;NA
Epilobium angustifolium;Halle;Epi_ang_Hal;2022;NA;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Epilobium angustifolium;Vienna;Epi_ang_Vie;2022;89;89;174;187;10;262;88;200;361;160;306;100;306;NA
Epilobium angustifolium;Trondheim;Epi_ang_Tro;2022;119;126;193;200;40;234;41;NA;NA;242;242;5;248;NA
Epilobium angustifolium;Jena;Epi_ang_Jen;2022;88;96;166;173;30;236;70;208;354;186;314;100;354;NA
Epilobium angustifolium;Berlin;Epi_ang_Ber;2022;NA;109;172;193;100;256;84;249;256;200;208;10;256;NA
Epimedium rubrum_x;Petrozavodsk;Epi_rub_Pet;2022;118;124;147;154;30;157;10;NA;NA;256;256;5;302;NA
Epipactis helleborine;Frankfurt;Epi_hel_Fra;2022;117;124;181;181;50;194;13;215;271;229;363;100;363;NA
Epipactis palustris;Tuebingen;Epi_pal_Tue;2022;47;47;47;47;100;194;147;209;355;262;285;100;355;NA
Eranthis hyemalis;Leipzig;Era_hye_Lei;2022;NA;54;68;NA;54;NA;NA;68;110;117;124;NA;NA;NA
Eranthis hyemalis;Potsdam;Era_hye_Pot;2022;6;13;20;49;80;82;62;NA;NA;124;139;100;355;NA
Eranthis hyemalis;Berlin;Era_hye_Ber;2022;341;NA;34;40;100;54;20;124;137;124;137;70;137;NA
Eranthis hyemalis;Frankfurt;Era_hye_Fra;2022;5;47;47;47;90;68;21;117;125;117;131;100;350;NA
Eranthis hyemalis;Trondheim;Era_hye_Tro;2022;62;62;69;76;100;112;43;154;161;140;182;100;193;NA
Eranthis hyemalis;Vienna;Era_hye_Vie;2022;14;27;33;33;100;47;14;118;154;95;132;95;139;NA
Eranthis hyemalis;Tuebingen;Era_hye_Tue;2022;5;12;47;47;100;68;21;117;132;132;159;100;159;NA
Eranthis hyemalis;Prague;Era_hye_Pra;2022;NA;NA;NA;NA;NA;NA;NA;118;153;132;160;100;160;NA
Eranthis hyemalis;Jena;Era_hye_Jen;2022;5;19;34;54;100;68;34;117;137;124;144;100;334;NA
Eranthis hyemalis;Halle;Era_hye_Hal;2022;11;19;19;46;100;61;42;118;139;111;145;100;145;NA
Eremurus himalaicus;Srinagar;Ere_him_Sri;2022;32;46;95;109;85;123;28;130;186;130;151;100;186;NA
Erica tetralix;Jena;Eri_tet_Jen;2022;54;54;173;193;60;250;77;236;354;5;5;90;354;NA
Erigeron annuus;Srinagar;Eri_ann_Sri;2022;NA;137;151;165;90;207;56;228;256;207;235;100;256;NA
Erigeron rufescens;Srinagar;Eri_ruf_Sri;2022;32;46;200;228;100;249;49;249;326;214;283;100;326;NA
Erigeron sumatrensis;Srinagar;Eri_sum_Sri;2022;32;46;172;193;90;221;49;249;297;207;276;100;297;NA
Eryngium campestre;Vienna;Ery_cam_Vie;2022;5;41;NA;NA;NA;NA;NA;NA;27;160;314;100;314;NA
Eryngium campestre;Potsdam;Ery_cam_Pot;2022;61;75;187;208;90;221;34;230;244;230;250;100;292;NA
Eryngium campestre;Prague;Ery_cam_Pra;2022;69;83;NA;NA;NA;NA;NA;NA;NA;188;258;60;258;NA
Eryngium campestre;Halle;Ery_cam_Hal;2022;33;74;181;208;100;223;42;216;269;174;269;95;269;NA
Eryngium campestre;Frankfurt;Ery_cam_Fra;2022;NA;55;187;208;75;215;28;250;362;174;263;100;362;NA
Eryngium campestre;Leipzig;Ery_cam_Lei;2022;NA;82;159;NA;208;NA;NA;236;229;229;236;NA;NA;NA
Eryngium maritimum;Halle;Ery_mar_Hal;2022;89;89;163;163;70;223;60;216;269;174;11;100;355;NA
