Species;Botanic_Garden;Species_ID;Year;InitGr;LeafUnf;FlOn;FlPeak;FlMaxInt;FlEnd;FlDur;FrOn;FrEnd;SenOn;SenPeak;SenMaxInt;SenEnd;Remarks
Galanthus nivalis;Trondheim;Gal_niv_Tro;2022;62;62;69;83;100;105;36;133;147;90;161;100;193;NA
Galanthus nivalis;Halle;Gal_niv_Hal;2022;11;19;19;54;100;74;55;NA;NA;NA;NA;NA;NA;NA
Galanthus plicatus;Halle;Gal_pli_Hal;2022;11;33;46;61;100;89;43;NA;NA;118;163;100;163;NA
Galega officinalis;Vienna;Gal_off_Vie;2022;5;47;154;166;25;258;104;208;329;126;14;95;361;NA
Galega officinalis;Berlin;Gal_off_Ber;2022;NA;34;166;187;100;277;111;208;312;172;284;70;334;NA
Galega officinalis;Jena;Gal_off_Jen;2022;12;40;159;173;70;222;63;187;265;187;354;100;354;NA
Galega officinalis;Halle;Gal_off_Hal;2022;61;11;163;181;50;263;100;208;278;208;263;35;355;NA
Galega officinalis;Frankfurt;Gal_off_Fra;2022;NA;89;152;166;80;264;112;194;250;194;222;90;363;NA
Galega officinalis;Prague;Gal_off_Pra;2022;90;104;167;181;70;279;112;202;272;272;286;20;286;NA
Galium mollugo;Jena;Gal_mol_Jen;2022;34;34;173;173;50;193;20;214;278;228;5;100;354;NA
Galium mollugo;Leipzig;Gal_mol_Lei;2022;NA;54;96;NA;152;NA;NA;173;173;NA;NA;NA;NA;NA
Galium odoratum;Halle;Gal_odo_Hal;2022;74;11;118;124;100;145;27;187;269;208;355;95;355;NA
Galium odoratum;Trondheim;Gal_odo_Tro;2022;69;83;147;161;90;175;28;242;242;168;234;30;248;NA
Galium odoratum;Petrozavodsk;Gal_odo_Pet;2022;118;130;164;171;20;178;14;227;232;239;302;80;302;NA
Galium odoratum;Vienna;Gal_odo_Vie;2022;41;62;103;126;100;139;36;154;363;216;354;80;363;NA
Galium odoratum;Prague;Gal_odo_Pra;2022;62;69;125;132;80;139;14;139;237;237;328;30;328;NA
Galium odoratum;Potsdam;Gal_odo_Pot;2022;NA;33;124;139;100;152;28;152;181;160;26;80;355;NA
Galium odoratum;Xixon;Gal_odo_Xix;2022;61;26;NA;NA;NA;NA;NA;NA;NA;82;271;100;271;NA
Galium odoratum;Tuebingen;Gal_odo_Tue;2022;55;47;132;132;20;138;6;NA;NA;262;5;95;355;NA
Galium odoratum;Jena;Gal_odo_Jen;2022;34;54;NA;NA;NA;NA;NA;NA;NA;243;19;90;354;NA
Galium palustre;Berlin;Gal_pal_Ber;2022;NA;40;144;159;80;249;105;193;221;166;334;60;334;NA
Gaultheria shallon;Jena;Gau_sha_Jen;2022;61;137;144;152;80;173;29;NA;NA;179;354;90;354;NA
